thread_key,target_name,target_status,target_match_kind,target_match_basis,target_candidate_content_count,target_image_id,target_source_ephysFN,target_source_relpath,target_asset,target_asset_sha256
Alfa-11032021-004#thread000,Frigatebird-sq,resolved,normalized exact,validated repeat-source session,1,d79a903f0cd373afa2077575,Alfa-11032021-002,2020-CosineEvol/2021-03-11-Alfa-refRepr/Frigatebird-sq.jpg,/targets/d79a903f0cd373afa2077575.webp,f7804d8f3e18b7c92c3b969e2d5513dbebcb3ffe7b593a8cf8e437c4abfd6d22
Alfa-11032021-005#thread000,Frigatebird-sq,resolved,normalized exact,validated repeat-source session,1,d79a903f0cd373afa2077575,Alfa-11032021-002,2020-CosineEvol/2021-03-11-Alfa-refRepr/Frigatebird-sq.jpg,/targets/d79a903f0cd373afa2077575.webp,f7804d8f3e18b7c92c3b969e2d5513dbebcb3ffe7b593a8cf8e437c4abfd6d22
Alfa-11032021-006#thread000,objects-familiar-10,resolved,normalized exact,validated repeat-source session,1,4816ac9860b58c892aa6a525,Alfa-11032021-002,2020-CosineEvol/2021-03-11-Alfa-refRepr/objects-familiar-10.bmp,/targets/4816ac9860b58c892aa6a525.webp,923a1b2423db532c038772e2e7908b73d190d112b9c5f8be38da01f972d52182
Alfa-23032021-003#thread000,Grapes_sq,resolved,normalized exact,validated repeat-source session,1,07f2ea8364c3ab15b34da929,Alfa-23032021-002,2020-CosineEvol/2021-03-23-Alfa-refRepr/Grapes_sq.jpg,/targets/07f2ea8364c3ab15b34da929.webp,f1f6916eab7fcd7db33168961cfaa21a6a3ab8de00e0894a78ba944ef31d79e8
Alfa-23032021-005#thread000,n07717556_398,resolved,normalized exact,validated repeat-source session,1,aed22781351fd17d444a31d9,Alfa-23032021-002,2020-CosineEvol/2021-03-23-Alfa-refRepr/n07717556_398.bmp,/targets/aed22781351fd17d444a31d9.webp,87743b9a4306516fac802f91f4ad79f41f23638676454a2bb539537b04f9c693
Alfa-23032021-006#thread000,11_objects-familiar-17,resolved,normalized exact,validated repeat-source session,1,efe3e26b87fb22aa01e62637,Alfa-23032021-002,2020-CosineEvol/2021-03-23-Alfa-refRepr/11_objects-familiar-17.bmp,/targets/efe3e26b87fb22aa01e62637.webp,2512788279b4f9183fab6abe242201615abbfdc812966201fff25fccf80ab21e
Alfa-23032021-007#thread000,objects-familiar-11,resolved,normalized exact,validated repeat-source session,1,2bc3ebf693988f5abcea7beb,Alfa-23032021-002,2020-CosineEvol/2021-03-23-Alfa-refRepr/objects-familiar-11.bmp,/targets/2bc3ebf693988f5abcea7beb.webp,701519d3ab7eeb76d0a90339f5f9eee2c408ab390b016b40dd58a37da6ca48d6
Alfa-23032021-008#thread000,17,resolved,normalized exact,validated repeat-source session,1,9c9b005cc359281c545bd8f3,Alfa-23032021-002,2020-CosineEvol/2021-03-23-Alfa-refRepr/17.bmp,/targets/9c9b005cc359281c545bd8f3.webp,41064bff57dd0afbd0a10fd703f7da4819bfdb92fcd05ccc2dc254b638083a88
Alfa-25032021-003#thread000,17,resolved,normalized exact,validated repeat-source session,1,c03dd41b7e76766ee72693c1,Alfa-25032021-002,2020-CosineEvol/2021-03-25-Alfa-refRepr/17.bmp,/targets/c03dd41b7e76766ee72693c1.webp,41064bff57dd0afbd0a10fd703f7da4819bfdb92fcd05ccc2dc254b638083a88
Alfa-25032021-004#thread000,n07717556_398,resolved,normalized exact,validated repeat-source session,1,b46664c45b15344970898984,Alfa-25032021-002,2020-CosineEvol/2021-03-25-Alfa-refRepr/n07717556_398.bmp,/targets/b46664c45b15344970898984.webp,87743b9a4306516fac802f91f4ad79f41f23638676454a2bb539537b04f9c693
Alfa-25032021-005#thread000,Grapes_sq,resolved,normalized exact,validated repeat-source session,1,a8a685ed60e2389db5fee3f4,Alfa-25032021-002,2020-CosineEvol/2021-03-25-Alfa-refRepr/Grapes_sq.jpg,/targets/a8a685ed60e2389db5fee3f4.webp,f1f6916eab7fcd7db33168961cfaa21a6a3ab8de00e0894a78ba944ef31d79e8
Alfa-30032021-012#thread000,01_18,resolved,normalized exact,validated repeat-source session,1,d825dc3d3ac7347ad6f1f0d8,Alfa-30032021-010,2020-CosineEvol/2021-03-30-Alfa-refRepr/01_18.bmp,/targets/d825dc3d3ac7347ad6f1f0d8.webp,0642096429b7d5cbb8ba71fa8624fc8b99a9656ee06071273729659f372ac0a4
Alfa-30032021-013#thread000,objects-familiar-11,resolved,normalized exact,validated repeat-source session,1,2d9d960da34fcfef38e59340,Alfa-30032021-010,2020-CosineEvol/2021-03-30-Alfa-refRepr/objects-familiar-11.bmp,/targets/2d9d960da34fcfef38e59340.webp,701519d3ab7eeb76d0a90339f5f9eee2c408ab390b016b40dd58a37da6ca48d6
